Year,Population
1923,11637
1925,12494
1927,12519
1928,8967
1929,9194
1930,8312
1931,7708
1932,10655
1933,11587
1934,10050
1935,10101
1936,10353
1937,8841
1938,10982
1943,8287
1946,8564
1948,7809
1949,9521
1956,7028
1959,4912
1961,8186
1962,5743
1965,4912
1967,3929
1968,3224
1969,4332
1970,5567
1971,7280
1972,8237
1973,10050
1974,10579
1975,12620
1976,12065
1978,12720
1979,10856
1982,16045
1986,16322
1987,17053
1988,18942
1990,14861
1992,12922
1993,17607
1994,19118
1995,16864
1998,11763
1999,11751
2000,14610
2001,13426
2002,12015
2003,9295
2004,8363
2005,9547
2007,6776
2008,6272
2009,7179
2010,6121
2011,4660
2012,4232
2013,3929
2015,4836
2016,4962
2017,5340
2018,7607
2019,5844
2020,6045
2021,6272
2022,6751
2023,5819
2024,5617
